21
8,-60
0,0
0,-1.142857
0,-2.285714
0,-3.428571
0,-4.571429
0,-5.714286
0,-6.857143
0,-8
8,-54
-1.32468,0
-1.297646,-1.142857
-1.216543,-2.285714
-1.081371,-3.428571
-0.892131,-4.571429
-0.648823,-5.714286
-0.351446,-6.857143
0,-8
8,-48
-2.43648,0
-2.386756,-1.142857
-2.237584,-2.285714
-1.988963,-3.428571
-1.640895,-4.571429
-1.193378,-5.714286
-0.646413,-6.857143
0,-8
8,-42
-3.35988,0
-3.291311,-1.142857
-3.085604,-2.285714
-2.742759,-3.428571
-2.262776,-4.571429
-1.645656,-5.714286
-0.891397,-6.857143
0,-8
8,-36
-4.11648,0
-4.03247,-1.142857
-3.780441,-2.285714
-3.360392,-3.428571
-2.772323,-4.571429
-2.016235,-5.714286
-1.092127,-6.857143
0,-8
8,-30
-4.725,0
-4.628571,-1.142857
-4.339286,-2.285714
-3.857143,-3.428571
-3.182143,-4.571429
-2.314286,-5.714286
-1.253571,-6.857143
0,-8
8,-24
-5.20128,0
-5.095131,-1.142857
-4.776686,-2.285714
-4.245943,-3.428571
-3.502903,-4.571429
-2.547566,-5.714286
-1.379931,-6.857143
0,-8
8,-18
-5.55828,0
-5.444846,-1.142857
-5.104543,-2.285714
-4.537371,-3.428571
-3.743331,-4.571429
-2.722423,-5.714286
-1.474646,-6.857143
0,-8
8,-12
-5.80608,0
-5.687589,-1.142857
-5.332114,-2.285714
-4.739657,-3.428571
-3.910217,-4.571429
-2.843794,-5.714286
-1.540389,-6.857143
0,-8
8,-6
-5.95188,0
-5.830413,-1.142857
-5.466012,-2.285714
-4.858678,-3.428571
-4.008409,-4.571429
-2.915207,-5.714286
-1.57907,-6.857143
0,-8
8,0
6,0
5.877551,-1.142857
5.510204,-2.285714
4.897959,-3.428571
4.040816,-4.571429
2.938776,-5.714286
1.591837,-6.857143
0,-8
8,6
5.95188,0
5.830413,-1.142857
5.466012,-2.285714
4.858678,-3.428571
4.008409,-4.571429
2.915207,-5.714286
1.57907,-6.857143
0,-8
8,12
5.80608,0
5.687589,-1.142857
5.332114,-2.285714
4.739657,-3.428571
3.910217,-4.571429
2.843794,-5.714286
1.540389,-6.857143
0,-8
8,18
5.55828,0
5.444846,-1.142857
5.104543,-2.285714
4.537371,-3.428571
3.743331,-4.571429
2.722423,-5.714286
1.474646,-6.857143
0,-8
8,24
5.20128,0
5.095131,-1.142857
4.776686,-2.285714
4.245943,-3.428571
3.502903,-4.571429
2.547566,-5.714286
1.379931,-6.857143
0,-8
8,30
4.725,0
4.628571,-1.142857
4.339286,-2.285714
3.857143,-3.428571
3.182143,-4.571429
2.314286,-5.714286
1.253571,-6.857143
0,-8
8,36
4.11648,0
4.03247,-1.142857
3.780441,-2.285714
3.360392,-3.428571
2.772323,-4.571429
2.016235,-5.714286
1.092127,-6.857143
0,-8
8,42
3.35988,0
3.291311,-1.142857
3.085604,-2.285714
2.742759,-3.428571
2.262776,-4.571429
1.645656,-5.714286
0.891397,-6.857143
0,-8
8,48
2.43648,0
2.386756,-1.142857
2.237584,-2.285714
1.988963,-3.428571
1.640895,-4.571429
1.193378,-5.714286
0.646413,-6.857143
0,-8
8,54
1.32468,0
1.297646,-1.142857
1.216543,-2.285714
1.081371,-3.428571
0.892131,-4.571429
0.648823,-5.714286
0.351446,-6.857143
0,-8
8,60
0,0
0,-1.142857
0,-2.285714
0,-3.428571
0,-4.571429
0,-5.714286
0,-6.857143
0,-8
,
